kod;nazwa
421;fusobacterium varium
422;veillonella parvula
423;peptococcus asaccharolyticus
424;peptococcus saccharolyticus
425;peptococcus spp
426;peptostreptococcus spp
427;streptococcus intermedius
428;streptococcus spp
429;propionibacterium acnes
430;propionibacterium granulosum
431;bifidobacterium adolescentis 1
432;bifidobacterium adolescentis 2
433;lactobacillus acidophilus
434;lactobacillus catenaforme
435;lactobacillus fermentum
436;lactobacillus jensenii
437;lactobacillus minutus
438;eubacterium lentum
439;eubacterium limosum
440;actinomyces israelii
441;actinomyces meyeri
442;actinomyces naeslundii
443;actinomyces odontolyticus
444;actinomyces viscosus
445;clostridium barati
446;clostridium bifermentans
447;clostridium botulinum gr. i
448;clostridium botulinum gr. ii
449;clostridium cadaveris
450;clostridium clostridiiforme
451;clostridium difficile
452;clostridium glycolycum
453;clostridium innocuum
454;clostridium paraputrificum
455;clostridium perfringens
456;clostridium ramosum
457;clostridium septicum
458;clostridium sordellii
459;clostridium sporogenes
460;clostridium tertium
461;clostridium beijer./butyricum
462;clostridium spp
499;inne beztlenowce
500;candida albicans 1
501;candida albicans 2
502;candida ciferrii
503;candida colliculosa
504;candida famata
505;candida glabrata
506;candida guilliermondii
507;candida humicola
508;candida inconspicua
509;candida kefyr 1
510;candida kefyr 2
511;candida krusei
512;candida lambica
513;candida lipolytica
514;candida lusitaniae
515;candida magnoliae
516;candida maris
517;candida norvegensis
518;candida parapsilosis
519;candida pelliculosa
520;candida rugosa
521;candida tropicalis 1
522;candida tropicalis 2
523;candida zeylanoides
524;cryptococcus albidus 1
525;cryptococcus albidus 2
526;cryptococcus laurentii
527;cryptococcus neoformans
528;cryptococcus terreus
529;cryptococcus uniguttulatus
530;geotrichum candidum
531;geotrichum penicillatum
532;kloeckera apis / apiculata
533;kloeckera japonica
534;rhodotorula glutinis
535;rhodotorula minuta
536;rhodotorula rubra 1
537;rhodotorula rubra 2
538;saccharomyces cerevisiae 1
539;saccharomyces cerevisiae 2
540;sporobolomyces salmonicolor
541;trichosporon cutaneum
542;trichosporon capitatum
599;inne fungi
600;chlamydia trachomatis
601;chlamydia pneumoniae
624;inne chlamydia
625;mycoplasma pneumoniae
626;mycoplasma hominis
627;mycoplasma salivarium
628;mycoplasma orale
629;ureoplasma spp
649;inne mycoplasma
650;corynebacterium aquaticum
651;corynebacterium bovis
652;corynebacterium diphtheriae mitis
653;corynebacterium diphtheriae belfanti
654;corynebacterium diphtheriae gravis
655;corynebacterium jeikeium
656;corynebacterium kutscheri
657;corynebacterium minutissimum
658;corynebacterium pilosum
659;corynebacterium pseudotuberculosis
660;corynebacterium pseudodiphtheriticum
661;corynebacterium renale
662;corynebacterium striatum
663;corynebacterium ulcerans
664;corynebacterium xerosis
665;corynebacterium group a
666;corynebacterium group anf
667;corynebacterium group b
668;corynebacterium group d2
669;corynebacterium group f
670;corynebacterium group g 1
671;corynebacterium group g 2
672;corynebacterium group i
673;rhodococcus equi
674;listeria monocytogens/innocua
675;listeria grayi/murrayi
676;oerskovia spp
677;actinomyces pyogenes
678;erysipelothrix rhusiopathiae
679;arcanobacterium haemolyticum
680;brevibacterium spp
681;gerdnerella vaginalis
699;inne corynebacterium
700;haemophilus influenzae
701;haemophilus haemolyticus
702;haemophilus haemoglobinophilus
703;haemophilus ducreyi
704;haemophilus parainfluenzae
705;haemophilus paraaphrophilus
706;haemophilus aphrophilus
707;haemophilus segnis
724;inne haemophilus
725;mycobacterium spp
749;inne mycobacterium
750;legionella pneumophila
751;legionella micdadei
774;inne legionella
800;moraxella catarrhalis
824;inne moraxella
825;neisseria spp
849;inne neisseria
850;rickettsia spp
851;coxiella burnetii
874;inne rickettsia
875;hav (wirusowe zapalenie w¹troby typu a)
876;hbv (wirusowe zapalenie w¹troby typu b)
877;hdv (wirusowe zapalenie w¹troby typu delta)
878;hcv (wirusowe zapalenie w¹troby typu nie a, nie b)
879;hev (wirusowe zapalenie w¹troby typu nie a, nie b)
880;cytomegalowirusy
881;hiv
899;inne wirusy
